PostUserId,RespondUserId,QId,Time,days
8.0,20.0,1,2011-10-11 19:33:16.830,0
8.0,8.0,1,2011-10-11 19:34:35.720,0
8.0,43.0,1,2011-10-11 20:18:43.060,0
8.0,86.0,1,2011-10-11 23:50:30.330,0
8.0,406.0,1,2011-11-22 17:02:53.553,41
8.0,432.0,1,2011-11-30 04:46:39.140,49
5.0,20.0,3,2011-10-11 19:34:19.230,0
5.0,23.0,3,2011-10-11 20:11:19.333,0
1.0,20.0,2,2011-10-11 19:45:04.567,0
1.0,1.0,2,2011-10-11 19:54:15.337,0
1.0,20.0,2,2011-10-11 19:55:28.703,0
1.0,43.0,2,2011-10-11 20:03:44.390,0
1.0,23.0,2,2011-10-11 23:29:53.773,0
1.0,86.0,2,2011-10-11 23:49:24.857,0
1.0,432.0,2,2011-11-30 04:47:07.453,49
432.0,1.0,2,2011-11-30 04:50:37.273,49
1.0,1.0,17,2011-10-11 20:13:46.077,0
43.0,8.0,31,2011-10-11 20:44:34.920,0
43.0,48.0,31,2011-10-11 21:02:48.760,0
43.0,86.0,31,2011-10-12 00:02:38.013,0
43.0,68.0,31,2011-10-12 04:59:35.713,0
43.0,86.0,31,2011-10-12 14:14:33.233,0
43.0,68.0,31,2011-10-12 21:40:59.470,1
47.0,57.0,18,2011-10-11 20:49:20.297,0
30.0,8.0,36,2011-10-11 21:33:17.787,0
30.0,68.0,36,2011-10-12 03:37:40.947,0
30.0,10.0,36,2011-10-12 04:12:44.023,0
30.0,30.0,36,2011-10-12 16:59:21.667,0
9.0,71.0,28,2011-10-11 22:06:29.360,0
9.0,9.0,28,2011-10-11 22:26:13.997,0
9.0,23.0,28,2011-10-11 23:27:26.660,0
65.0,26.0,43,2011-10-11 22:25:31.497,0
65.0,432.0,43,2011-11-25 11:36:01.877,44
8.0,23.0,22,2011-10-11 23:31:07.483,0
8.0,68.0,22,2011-10-12 04:23:45.087,0
8.0,104.0,22,2011-10-12 18:28:42.313,0
20.0,86.0,9,2011-10-12 00:00:53.350,0
86.0,20.0,9,2011-10-12 00:15:15.527,0
86.0,41.0,9,2011-10-12 00:41:20.173,0
20.0,20.0,9,2011-10-12 01:25:51.237,0
20.0,178.0,9,2011-10-26 19:37:55.893,15
65.0,20.0,50,2011-10-12 01:54:27.550,0
65.0,65.0,50,2011-10-12 02:01:07.120,0
